year,state,electric_ev,plug_in_hybrid_electric_phev,hybrid_electric_hev,biodiesel,ethanol_flex,compressed_natural_gas,propane,hydrogen,methanol,gasoline,diesel
2016,Maryland,"3,200","5,000","85,900",0,"327,800","6,100",0,0,0,"4,039,100","105,200"
2016,Massachusetts,"3,600","5,200","98,300",0,"315,600","3,400",0,0,0,"4,623,900","79,000"
2016,Michigan,"1,600","11,600","64,900",0,"1,186,000","19,800",0,0,0,"6,902,900","190,800"
2016,Minnesota,"1,600","2,400","58,900",0,"549,600","13,600",0,0,0,"3,981,400","135,100"
2016,Mississippi,100,200,"11,800",0,"279,600","9,500",0,0,0,"2,106,700","78,300"
2016,Missouri,"1,400","2,100","63,800",0,"589,600","21,800",0,0,0,"4,597,300","194,200"
2016,Montana,200,200,"9,800",0,"111,700","5,400",0,0,0,"750,600","87,600"
2016,Nebraska,300,600,"14,500",0,"208,300","9,900",0,0,0,"1,468,900","79,800"
2016,Nevada,"2,000","1,400","30,700",0,"138,800","7,100",0,0,0,"1,923,600","83,000"
2016,New Hampshire,400,"1,000","19,200",0,"100,900","1,800",0,0,0,"1,132,600","34,300"
2016,New Jersey,"4,200","5,500","80,900",0,"470,400","4,400",0,0,0,"6,001,300","111,500"
2016,New Mexico,500,600,"20,800",0,"142,300","7,800",0,0,0,"1,375,900","88,400"
2016,New York,"6,100","12,100","166,500",0,"895,500","10,200",0,0,0,"10,013,300","191,300"
2016,North Carolina,"2,900","3,600","107,400",0,"642,800","26,100",0,0,0,"7,095,700","218,900"
2016,North Dakota,0,100,"3,400",0,"118,500","5,100",0,0,0,"566,300","51,900"
2016,Ohio,"2,600","4,400","91,900",0,"909,400","21,600",0,0,0,"8,740,000","209,700"
2016,Oklahoma,600,700,"24,800",0,"599,800","20,300",0,0,0,"3,277,300","171,700"
2016,Oregon,"7,700","4,300","83,300",0,"168,600","15,500",0,0,0,"3,077,900","220,300"
2016,Pennsylvania,"3,200","5,400","103,200",0,"776,400","15,300",0,0,0,"8,767,400","223,100"
2016,Rhode Island,300,600,"11,000",0,"44,300",700,0,0,0,"778,200","14,000"
2016,South Carolina,800,"1,200","39,300",0,"373,900","16,100",0,0,0,"3,814,700","102,900"
2016,South Dakota,100,200,"5,300",0,"113,100","5,700",0,0,0,"667,200","56,200"
2016,Tennessee,"2,600","1,700","48,400",0,"442,400","21,300",0,0,0,"4,772,600","137,900"
2016,Texas,"11,900","8,000","205,800",0,"2,596,600","64,700",0,0,0,"18,245,400","961,200"
2016,Utah,"2,500","1,700","32,700",0,"172,900","10,800",0,0,0,"2,072,100","150,800"
2016,Vermont,300,"1,200","11,600",0,"49,300",800,0,0,0,"521,600","20,200"
2016,Virginia,"3,100","4,200","126,700",0,"463,300","17,900",0,0,0,"6,554,200","168,900"
2016,Washington,"14,900","6,400","143,400",0,"304,100","24,400",0,0,0,"5,329,200","272,100"
2016,West Virginia,100,300,"9,200",0,"150,300","4,400",0,0,0,"1,286,500","52,000"
2016,Wisconsin,"2,600","2,600","61,700",0,"579,200","14,400",0,0,0,"4,500,500","154,400"
2016,Wyoming,100,100,"3,800",0,"64,100","4,800",0,0,0,"448,600","69,900"
